CustomerID,NewMonthlyPremium
95232432720,12288
69242698901,20217
40158208292,10071
85391718543,14211
74356932704,4219
32815700745,18131
34551736686,40368
79567120527,8309
71616491888,16234
57161841709,13277
345746857210,42897
489566725611,29955
073644016012,15444
680767069913,13890
394723848014,8604
722457053315,15561
875974126316,16983
410363027317,12553
242217383118,6472
048873323719,14076
584384928520,10092
112252918121,4828
331793287922,15284
550811584623,6974
410028957024,18310
373385491625,10286
277904955126,36650
885754937327,17840
259647700628,21583
146036885429,9801
573538958930,5012
379204363831,23457
078922018432,25484
220155071033,12846
464108823034,36454
920853643535,12636
007578482936,437
608010695737,5597
472910364438,21699
789010161739,4501
205403113040,14004
010221433941,13229
914499591542,8697
352294124143,20994
483454523144,31770
697331387045,11372
324080133146,26725
812629938147,13596
304768778948,19124
041066487449,6668
202323247350,12249
705313061151,7956
152012991552,10464
072230060353,23590
366980050954,89
901291713255,14790
962087746656,14772
160970424857,27608
505401035258,12863
233628086759,35371
042656133760,14032
840203441861,26947
974354356362,10500
876693985063,6838
324394980264,15062
779208178965,23210
054178224966,33074
120647151367,13964
360054479068,13008
486710763869,26937
767167844070,21016
475664559571,12921
996871417572,7203
111041661373,11932
030904467874,16182
223436644075,4675
105080672776,5228
821410989177,1040
104390573878,22018
331337404979,3941
924943172580,8289
230151510581,6362
383247074182,1621
756164973183,9694
305068324184,7941
123035787185,25145
580313000086,24121
042444762087,23276
830289458488,4323
042340271789,19882
472149584190,44883
218099456391,4740
216107787192,30948
232689534193,12634
190923426894,9526
455359426595,7788
976003541396,8428
940663093397,27529
165220769498,7872
210740628699,15809
8865509260100,28239
1663661234101,19473
4077852896102,20299
8647173369103,22353
9121310712104,18021
6467640744105,21702
9706559008106,48403
2074119134107,6340
9544184559108,2275
3784867560109,31472
2435509552110,18969
2913408387111,26582
1514590514112,16069
5679133135113,7713
2469746743114,20988
1266466619115,4931
2571515016116,16461
6115652237117,1075
3657110020118,38067
4288141698119,11355
2707765333120,18691
0786129588121,7163
1533029123122,4434
6286521703123,33763
8964175456124,11830
9426739457125,22131
4457614285126,10555
0414940233127,15295
9956793685128,3642
9365759344129,3589
2264855241130,6802
3118939710131,4215
4055024280132,15814
0832282191133,2685
2374328160134,14885
1838530175135,8598
1774258367136,3051
0223721380137,10328
3237841949138,14929
4293250315139,15495
2357951776140,14957
9025513038141,9156
6998759646142,21141
1096870755143,10745
4724336464144,6381
7827320447145,6219
6641805464146,21523
6285113455147,19097
7507412159148,4839
5229912535149,34966
4017106096150,6784
2765275022151,11333
6623866332152,27216
6780896687153,19227
7710562165154,18978
3773712896155,12729
6453742933156,20127
7235200582157,12182
1095402796158,39465
5135150532159,21319
1056862361160,10743
2913904183161,14307
0272422753162,4831
1962847359163,7537
6975685064164,2268
4402333466165,11696
0261789836166,10966
7349576495167,7281
1760061469168,45267
4404048420169,14449
6555079026170,4460
8737823400171,10074
1179336483172,17889
6774505657173,12159
8641105335174,20835
3868406176175,8951
4703197559176,33088
3965138574177,8645
9929841692178,20902
0100817736179,5422
6539959516180,12688
5492214618181,20334
5366524707182,17186
4505700493183,8011
1471853952184,19722
6998570432185,8688
5704552215186,5414
5423125987187,20940
8186319987188,13824
8509975438189,36925
4474706229190,15670
7037120944191,17084
6592846161192,13512
3475572965193,9282
4198494513194,19711
3533417224195,20684
3508003811196,17099
4705391446197,9863
6663130514198,9824
9220101670199,6495
0685443509200,6753
9171063414201,8021
2667098734202,10076
9733111881203,18234
2465132577204,19965
3603651259205,14073
5751544501206,14367
3672601947207,15993
5269823715208,12064
3138244122209,17313
4805966449210,22266
7426976964211,17984
7342650543212,33582
0540983946213,9510
8686647557214,31839
3156940616215,2066
4451265680216,42807
4318683515217,21057
5295709689218,18019
2210965556219,7884
2370607751220,23701
6246649600221,20325
7431811781222,33133
2893154453223,8865
8962953325224,2399
4683380087225,4461
5999046620226,17773
9741515269227,6188
8466532181228,16738
8366571474229,5882
5757352746230,10245
0137957891231,14588
3128543193232,11984
5588247547233,10059
4977033852234,11310
3086151559235,10015
3070455403236,15770
0833892559237,7596
4546366427238,2585
9995907334239,4446
1519211120240,10548
8799031502241,22884
6553760735242,9444
4119186606243,6846
3607407690244,7580
9999886277245,12578
3964001557246,11871
1234519014247,7704
3271804764248,3451
4266534862249,32025
